"ID_ACTIVITY_CODE","NAME"
"H06.03","Thermal heating of water bodies"
"H06.04","Electromagnetic changes"
"H06.05","Seismic exploration, explosions"
"H07","Other forms of pollution"
"I","Invasive, other problematic species and genes"
"I01","invasive non-native species"
"I02","problematic native species"
"I03","introduced genetic material, GMO"
"I03.01","genetic pollution (animals)"
"I03.02","genetic pollution (plants)"
"J","Natural System modifications"
"J01","fire and fire suppression"
"J01.01","burning down"
"J01.02","suppression of natural fires"
"J01.03","lack of fires"
"J02","human induced changes in hydraulic conditions"
"J02.01","Landfill, land reclamation and drying out, general"
"J02.01.01","polderisation"
"J02.01.02","reclamation of land from sea, estuary or marsh"
"J02.01.03","infilling of ditches, dykes, ponds, pools, marshes or pits"
"J02.01.04","recultivation of mining areas"
"J02.02","Removal of sediments (mud...)"
"J02.02.01","dredging / removal of limnic sediments"
"J02.02.02","estuarine and coastal dredging"
"J02.03","Canalisation & water deviation"
"J02.03.01","large scale water deviation"
"J02.03.02","canalisation"
"J02.04","Flooding modifications"
"J02.04.01","flooding"
"J02.04.02","lack of flooding"
"J02.05","Modification of hydrographic functioning, general"
"J02.05.01","modification of water flow (tidal & marine currents)"
"J02.05.02","modifying structures of inland water courses"
"J02.05.03","modification of standing water bodies"
"J02.05.04","reservoirs"
"J02.05.05","small hydropower projects, weirs"
"J02.05.06","wave exposure changes"
"J02.06","Water abstractions from surface waters"
"J02.06.01","surface water abstractions for agriculture"
"J02.06.02","surface water abstractions for public water supply"
"J02.06.03","surface water abstractions by manufacturing industry"
"J02.06.04","surface water abstractions for the production of electricity (cooling)"
"J02.06.05","surface water abstractions by fish farms"
"J02.06.06","surface water abstractions by hydro-energy"
"J02.06.07","surface water abstractions by quarries / open cast (coal) sites"
"J02.06.08","surface water abstractions for navigation"
"J02.06.09","surface water abstractions for water transfer"
"J02.06.10","other major surface water abstractions"
"J02.07","Water abstractions from groundwater"
"J02.07.01","groundwater abstractions for agriculture"
"J02.07.02","groundwater abstractions for public water supply"
"J02.07.03","groundwater abstractions by industry"
"J02.07.04","groundwater abstractions by quarries / open cast (coal) sites"
"J02.07.05","other major groundwater abstractions from groundwater for agriculture"
"J02.08","Raising the groundwater table / artificial recharge of groundwater"
"J02.08.01","discharges to groundwater for artificial recharge purposes"
"J02.08.02","returns of groundwater to GWB from which it was abstracted"
"J02.08.03","mine water rebound"
"J02.08.04","other major groundwater recharge"
"J02.09","Saltwater intrusion of groundwater"
"J02.09.01","saltwater intrusion"
"J02.09.02","other intrusion"
"J02.10","management of aquatic and bank vegetation for drainage purposes"
"J02.11","Siltation rate changes, dumping, depositing of dredged deposits"
"J02.11.01","Dumping, depositing of dredged deposits"
"J02.11.02","Other siltation rate changes"
"J02.12","Dykes, embankments, artificial beaches, general"
"J02.12.01","sea defence or coast protection works, tidal barrages"
"J02.12.02","dykes and flooding defence in inland water systems"
"J02.13","Abandonment of management of water bodies"
"J02.14","Altered water quality due anthropogenic changes in salinity"
"J02.15","Other human induced changes in hydraulic conditions"
"J03","Other ecosystem modifications"
"J03.01","reduction or loss of specific habitat features"
"J03.01.01","reduction of prey availability (including carcasses)"
"J03.02","anthropogenic reduction of habitat connectivity"
"J03.02.01","reduction in migration / migration barriers"
"J03.02.02","reduction in dispersal"
"J03.02.03","reduction in genetic exchange"
"J03.03","reduction, lack or prevention of erosion"
"J03.04","applied (industrial) destructive research"
"K","Natural biotic and abiotic processes (without catastrophes)"
"K01","abiotic (slow) natural processes"
"K01.01","Erosion"
"K01.02","Silting up"
"K01.03","Drying out"
"K01.04","Submersion"
"K01.05","Soil salinization"
"K02","Biocenotic evolution, succession"
"K02.01","species composition change (succession)"
"K02.02","accumulation of organic material"
"K02.03","eutrophication (natural)"
"K02.04","acidification (natural)"
"K03","Interspecific faunal relations"
"K03.01","competition (fauna)"
"K03.02","parasitism (fauna)"
"K03.03","introduction of disease (microbial pathogens)"
"K03.04","predation"
"K03.05","antagonism arising from introduction of species"
"K03.06","antagonism with domestic animals"
"K03.07","other forms of interspecific faunal competition"
"K04","Interspecific floral relations"
"K04.01","competition (flora)"
"K04.02","parasitism (flora)"
"K04.03","introduction of disease (microbial pathogens)"
"K04.04","lack of pollinating agents"
"K04.05","damage by herbivores (including game species)"
"K05","reduced fecundity / genetic depression"
"K05.01","reduced fecundity / genetic depression in animals (inbreeding)"
"K05.02","reduced fecundity / genetic depression in plants (incl. endogamy)"
"K06","other forms or mixed forms of interspecific floral competition"
"L","Geological events, natural catastrophes"
"L01","volcanic activity"
"L02","tidal wave, tsunamis"
"L03","earthquake"
"L04","avalanche"
"L05","collapse of terrain, landslide"
"L06","underground collapses"
"L07","storm, cyclone"
"L08","inundation (natural processes)"
"L09","fire (natural)"
"L10","other natural catastrophes"
"M","Climate change"
"M01","Changes in abiotic conditions"
"M01.01","temperature changes (e.g. rise of temperature & extremes)"
"M01.02","droughts and less precipitations"
"M01.03","flooding and rising precipitations"
"M01.04","pH-changes"
"M01.05","water flow changes (limnic, tidal and oceanic)"
"M01.06","wave exposure changes"
"M01.07","sea-level changes"
"M02","Changes in biotic conditions"
"M02.01","habitat shifting and alteration"
"M02.02","desynchronisation of processes"
"M02.03","decline or extinction of species"
"M02.04","migration of species (natural newcomers)"
"U","Unknown threat or pressure"
"X","No threats or pressures"
"XE","Threats and pressures from outside the EU territory"
"XO","Threats and pressures from outside the Member State"
